Date,Open,High,Low,Close,Volume,Change
2018-03-02,7680,7800,7570,7750,1057461,-0.007682458386683688
2018-03-05,7750,7750,7540,7600,943155,-0.01935483870967747
2018-03-06,7720,8020,7710,8010,1340188,0.05394736842105252
2018-03-07,8050,8110,7890,7960,1195070,-0.006242197253433224
2018-03-08,8020,8140,7970,7970,729782,0.0012562814070351536
2018-03-09,7990,8370,7910,8350,1694894,0.04767879548306153
2018-03-12,8380,8440,8260,8340,912729,-0.0011976047904191933
2018-03-13,8340,8340,8190,8230,621293,-0.013189448441247031
2018-03-14,8160,8320,8100,8140,681970,-0.010935601458080146
2018-03-15,8140,8250,8080,8190,481350,0.006142506142506221
2018-03-16,8250,8250,8050,8150,743858,-0.004884004884004867
2018-03-19,8120,8200,8060,8060,490163,-0.011042944785276121
2018-03-20,7980,8090,7950,8010,659530,-0.006203473945409432
2018-03-21,8000,8130,7950,7950,647795,-0.0074906367041198685
2018-03-22,8010,8100,7980,8000,595964,0.0062893081761006275
2018-03-23,7810,7880,7530,7550,1380362,-0.05625000000000002
2018-03-26,7500,7770,7470,7750,851726,0.026490066225165476
2018-03-27,7780,7900,7760,7780,750393,0.003870967741935516
2018-03-28,7650,7840,7620,7810,618794,0.003856041131105492
2018-03-29,7850,7850,7730,7840,358307,0.003841229193341844
2018-03-30,7860,7930,7800,7800,506528,-0.005102040816326481
2018-04-02,7690,7850,7650,7720,565621,-0.01025641025641022
2018-04-03,7660,7820,7650,7820,353498,0.012953367875647714
2018-04-04,7820,7820,7590,7590,562856,-0.02941176470588236
2018-04-05,7660,7760,7580,7600,536113,0.0013175230566535578
2018-04-06,7610,7690,7560,7650,318851,0.006578947368421018
2018-04-09,7580,7660,7500,7550,527748,-0.013071895424836555
2018-04-10,7560,7610,7370,7510,723087,-0.005298013245033095
2018-04-11,7590,7610,7500,7540,313117,0.003994673768308976
2018-04-12,7540,7600,7390,7400,961448,-0.018567639257294433
2018-04-13,7500,7590,7400,7450,959420,0.006756756756756799
2018-04-16,7410,7510,7400,7490,456294,0.005369127516778427
2018-04-17,7500,7630,7460,7570,546851,0.010680907877169465
2018-04-18,7600,7610,7470,7490,679888,-0.010568031704095149
2018-04-19,7460,7570,7430,7470,511400,-0.002670226969292422
2018-04-20,7470,7510,7410,7430,426812,-0.0053547523427041055
2018-04-23,7440,7630,7440,7610,861195,0.024226110363391617
2018-04-24,7660,7720,7440,7440,965586,-0.0223390275952694
2018-04-25,7170,7180,6690,6800,3301381,-0.08602150537634412
2018-04-26,6770,6970,6770,6950,702325,0.022058823529411686
2018-04-27,7000,7020,6900,7000,418156,0.007194244604316502
2018-04-30,7050,7080,6970,7020,645437,0.0028571428571428914
2018-05-02,7030,7230,7000,7170,857946,0.02136752136752129
2018-05-03,7370,7380,7200,7210,659171,0.00557880055788007
2018-05-04,7210,7380,7080,7180,868553,-0.004160887656033285
2018-05-08,7200,7200,6970,6970,642189,-0.029247910863509752
2018-05-09,6970,7120,6920,7100,577403,0.01865136298421799
2018-05-10,7100,7320,7090,7260,804338,0.022535211267605604
2018-05-11,7260,7270,7140,7190,481716,-0.009641873278236957
2018-05-14,7190,7240,7060,7100,611246,-0.012517385257301838
2018-05-15,7110,7140,7010,7030,597764,-0.009859154929577452
2018-05-16,7050,7060,6900,6920,643256,-0.015647226173541973
2018-05-17,6940,7430,6940,7340,3291912,0.06069364161849711
2018-05-18,7410,7440,7290,7390,652281,0.006811989100817373
2018-05-21,7400,7400,7200,7230,648368,-0.021650879566982417
2018-05-23,7250,7370,7170,7230,681665,0.0
2018-05-24,7270,7300,7080,7110,519827,-0.016597510373444035
2018-05-25,6970,7100,6960,7010,521140,-0.01406469760900142
2018-05-28,7150,7250,7120,7140,782399,0.01854493580599148
2018-05-29,7190,7220,7050,7090,585770,-0.007002801120448154
2018-05-30,7020,7110,6910,6970,694273,-0.016925246826516194
2018-05-31,7030,7050,6960,7050,330743,0.011477761836441891
2018-06-01,7010,7080,6910,6970,449263,-0.01134751773049647
2018-06-04,6970,7190,6970,7090,574975,0.017216642754662947
2018-06-05,7180,7190,7040,7110,360779,0.0028208744710860323
2018-06-07,7160,7380,7140,7270,1147793,0.02250351617440227
2018-06-08,7320,7320,7150,7170,469617,-0.01375515818431916
2018-06-11,7190,7230,7080,7230,366273,0.008368200836819994
2018-06-12,7230,7270,7130,7190,334787,-0.0055325034578146415
2018-06-14,7190,7260,7030,7080,662928,-0.015299026425591111
2018-06-15,7090,7140,7010,7020,393644,-0.008474576271186418
2018-06-18,6980,7020,6710,6810,737713,-0.02991452991452992
2018-06-19,6810,6910,6600,6600,598481,-0.03083700440528636
2018-06-20,6510,6750,6510,6750,360928,0.022727272727272707
2018-06-21,6760,6770,6530,6530,390307,-0.03259259259259262
2018-06-22,6510,6610,6400,6580,326663,0.007656967840734996
2018-06-25,6590,6830,6590,6820,446209,0.036474164133738496
2018-06-26,6710,6800,6640,6740,323118,-0.011730205278592365
2018-06-27,6750,6870,6700,6700,284365,-0.005934718100890191
2018-06-28,6730,6960,6720,6820,515279,0.017910447761193993
2018-06-29,6980,6980,6680,6810,375970,-0.0014662756598240456
2018-07-02,6860,6860,6600,6600,422635,-0.03083700440528636
2018-07-03,6610,6810,6610,6790,472316,0.028787878787878807
2018-07-04,6830,7140,6820,7060,1172483,0.0397643593519883
2018-07-05,7120,7120,6900,6990,528227,-0.009915014164305958
2018-07-06,7010,7020,6810,7000,382148,0.0014306151645206988
2018-07-09,6930,7090,6900,7030,464059,0.004285714285714226
2018-07-10,7090,7170,7050,7100,450804,0.009957325746799528
2018-07-11,7100,7180,7020,7050,563129,-0.007042253521126751
2018-07-12,7050,7130,6970,7080,389416,0.004255319148936065
2018-07-13,7140,7310,7110,7210,849418,0.01836158192090398
2018-07-16,7230,7320,7200,7240,460684,0.004160887656033285
2018-07-17,7240,7270,7130,7210,405611,-0.004143646408839796
2018-07-18,7230,7440,7230,7310,1077394,0.01386962552011095
2018-07-19,7390,7400,7210,7230,716419,-0.01094391244870041
2018-07-20,7190,7330,7160,7240,356466,0.0013831258644536604
2018-07-23,7270,7290,7090,7150,556124,-0.012430939226519389
2018-07-24,7210,7340,7160,7300,687652,0.020979020979021046
2018-07-25,6900,6980,6040,6110,5241972,-0.16301369863013704
2018-07-26,6130,6290,5830,6200,1809233,0.014729950900163713
2018-07-27,6220,6450,6220,6450,1265448,0.040322580645161255
